binary_name,package,cluster,entry_point,loc,gen_label,gen_major,first_commit_date,first_commit_hash,first_commit_subject,last_commit_date,last_commit_hash,last_commit_subject,goal,parent,successors,outcome,canonical_replacement,archive_status,evidence,notes
m21d_elite_sa,cvrp_server,CVRP,services/cvrp_server/src/bin/m21d_elite_sa.rs,215,m21d,21,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Simulated annealing,m21_feasible_path,,Terminal (no known successor),,Pending,E3,
m22_0_archive,cvrp_server,CVRP,services/cvrp_server/src/bin/m22_0_archive.rs,356,m22_0,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,General experiment,m21_feasible_path,m22a_annealed_elite|m22b_novelty_elitism|m22c_0_route_sa|m22c_1_memetic|m22c_2_fidelity_audit|m22f_cvrp_control|m30_2_active_pilot|m30_2a_1_ecology_audit|m30_2a_2_shadow_advisory,Superseded,,Pending,E3,
m22_scale_up,cvrp_server,CVRP,services/cvrp_server/src/bin/m22_scale_up.rs,670,m22,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Scale-up experiment,m21_feasible_path,,Terminal (no known successor),,Pending,E3,
m22a_annealed_elite,cvrp_server,CVRP,services/cvrp_server/src/bin/m22a_annealed_elite.rs,437,m22a,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Simulated annealing variant,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m22b_novelty_elitism,cvrp_server,CVRP,services/cvrp_server/src/bin/m22b_novelty_elitism.rs,371,m22b,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Novelty-elitism hybrid,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m22c_0_route_sa,cvrp_server,CVRP,services/cvrp_server/src/bin/m22c_0_route_sa.rs,230,m22c_0,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Simulated annealing,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m22c_1_memetic,cvrp_server,CVRP,services/cvrp_server/src/bin/m22c_1_memetic.rs,584,m22c_1,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Memetic algorithm variant,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m22c_2_fidelity_audit,cvrp_server,CVRP,services/cvrp_server/src/bin/m22c_2_fidelity_audit.rs,657,m22c_2,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Structural or behavioural audit,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m22f_cvrp_control,cvrp_server,CVRP,services/cvrp_server/src/bin/m22f_cvrp_control.rs,150,m22f,22,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Control / baseline experiment,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m30_2_active_pilot,cvrp,CVRP,adapters/cvrp/src/bin/m30_2_active_pilot.rs,216,m30_2,30,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Active pilot / live deployment,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m30_2a_1_ecology_audit,cvrp,CVRP,adapters/cvrp/src/bin/m30_2a_1_ecology_audit.rs,139,m30_2,30,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Structural or behavioural audit,m22_0_archive,,Terminal (no known successor),,Pending,E3,
m30_2a_2_shadow_advisory,cvrp,CVRP,adapters/cvrp/src/bin/m30_2a_2_shadow_advisory.rs,169,m30_2,30,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Shadow advisory mode,m22_0_archive,,Terminal (no known successor),,Pending,E3,
basin_characterization,cvrp_server,CVRP,services/cvrp_server/src/bin/basin_characterization.rs,180,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Basin of attraction characterisation,,,Terminal (no known successor),,Pending,E3,
compare,cvrp,CVRP,adapters/cvrp/src/bin/compare.rs,52,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Comparative analysis,,,Terminal (no known successor),,Pending,E3,
elite_manifold_probe,cvrp_server,CVRP,services/cvrp_server/src/bin/elite_manifold_probe.rs,95,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Elite manifold probing,,,Terminal (no known successor),,Pending,E3,
elite_partition_probe,cvrp_server,CVRP,services/cvrp_server/src/bin/elite_partition_probe.rs,149,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Partition probing,,,Terminal (no known successor),,Pending,E3,
find_797,cvrp_server,CVRP,services/cvrp_server/src/bin/find_797.rs,38,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Search / discovery experiment,,,Terminal (no known successor),,Pending,E3,
frozen_partition_probe,cvrp_server,CVRP,services/cvrp_server/src/bin/frozen_partition_probe.rs,160,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Partition probing,,,Terminal (no known successor),,Pending,E3,
initial_basin_distribution,cvrp_server,CVRP,services/cvrp_server/src/bin/initial_basin_distribution.rs,71,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Basin of attraction characterisation,,,Terminal (no known successor),,Pending,E3,
search_config,cvrp,CVRP,adapters/cvrp/src/bin/search_config.rs,122,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-07,b741cc3e223d0a79e18c2a395909c552449df74f,feat(observability): implement adaptive execution budget and generic termination policies,Search configuration study,,,Terminal (no known successor),,Pending,E3,
seed_ecology_study,cvrp_server,CVRP,services/cvrp_server/src/bin/seed_ecology_study.rs,276,,9999,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,Ecology / fitness landscape characterisation,,,Terminal (no known successor),,Pending,E3,
m25_8_bridge,roadef,ROADEF,adapters/roadef/src/bin/m25_8_bridge.rs,338,m25_8,25,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Bridge / transition experiment,,m26_1_observation_audit|m26_1c_discriminative_audit|m26_1d_failure_density|m26_1e_survival_curves|m26_3_passive_learner|m26_4a_shadow_advisory|m26_4b_active_pilot,Superseded,,Pending,E3,
m25_8b_ecology,roadef,ROADEF,adapters/roadef/src/bin/m25_8b_ecology.rs,358,m25_8,25,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Ecology / fitness landscape characterisation,,,Terminal (no known successor),,Pending,E3,
m25_benchmark,roadef,ROADEF,adapters/roadef/src/bin/m25_benchmark.rs,377,m25,25,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Benchmark / performance measurement,,,Terminal (no known successor),,Pending,E3,
m25_final,roadef,ROADEF,adapters/roadef/src/bin/m25_final.rs,284,m25,25,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,General experiment,,,Terminal (no known successor),,Pending,E3,
m26_1_observation_audit,roadef,ROADEF,adapters/roadef/src/bin/m26_1_observation_audit.rs,154,m26_1,26,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Structural or behavioural audit,m25_8_bridge,m27_1_passive_operator_telemetry,Superseded,,Pending,E3,
m26_1c_discriminative_audit,roadef,ROADEF,adapters/roadef/src/bin/m26_1c_discriminative_audit.rs,233,m26_1,26,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Structural or behavioural audit,m25_8_bridge,,Terminal (no known successor),,Pending,E3,
m26_1d_failure_density,roadef,ROADEF,adapters/roadef/src/bin/m26_1d_failure_density.rs,171,m26_1,26,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Failure density analysis,m25_8_bridge,,Terminal (no known successor),,Pending,E3,
m26_1e_survival_curves,roadef,ROADEF,adapters/roadef/src/bin/m26_1e_survival_curves.rs,150,m26_1,26,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Survival curve analysis,m25_8_bridge,,Terminal (no known successor),,Pending,E3,
m26_3_passive_learner,roadef,ROADEF,adapters/roadef/src/bin/m26_3_passive_learner.rs,240,m26_3,26,2026-06-14,fb010df947ebd4d382732a524cda0539d43c4a00,M27.1 Passive operator telemetry and M27.2-3 pilot validation,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Passive observation / telemetry,m25_8_bridge,,Terminal (no known successor),,Pending,E3,
m26_4a_shadow_advisory,roadef,ROADEF,adapters/roadef/src/bin/m26_4a_shadow_advisory.rs,303,m26_4,26,2026-06-14,fb010df947ebd4d382732a524cda0539d43c4a00,M27.1 Passive operator telemetry and M27.2-3 pilot validation,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Shadow advisory mode,m25_8_bridge,,Terminal (no known successor),,Pending,E3,
m26_4b_active_pilot,roadef,ROADEF,adapters/roadef/src/bin/m26_4b_active_pilot.rs,307,m26_4,26,2026-06-14,fb010df947ebd4d382732a524cda0539d43c4a00,M27.1 Passive operator telemetry and M27.2-3 pilot validation,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Active pilot / live deployment,m25_8_bridge,,Terminal (no known successor),,Pending,E3,
m27_1_passive_operator_telemetry,roadef,ROADEF,adapters/roadef/src/bin/m27_1_passive_operator_telemetry.rs,270,m27_1,27,2026-06-14,fb010df947ebd4d382732a524cda0539d43c4a00,M27.1 Passive operator telemetry and M27.2-3 pilot validation,2026-06-14,fb010df947ebd4d382732a524cda0539d43c4a00,M27.1 Passive operator telemetry and M27.2-3 pilot validation,Passive observation / telemetry,m26_1_observation_audit,,Terminal (no known successor),,Pending,E3,
eval_profiler,roadef,ROADEF,adapters/roadef/src/bin/eval_profiler.rs,125,,9999,2026-07-11,42038b1ea1a20204999a8f9c4b0431ca982ce584,feat(roadef/m20): implement Dijkstra cache (RP-310A) — Phases 1-3 complete,2026-07-11,42038b1ea1a20204999a8f9c4b0431ca982ce584,feat(roadef/m20): implement Dijkstra cache (RP-310A) — Phases 1-3 complete,Evaluation profiler,,,Terminal (no known successor),,Pending,E3,
tiny_solver,roadef,ROADEF,adapters/roadef/src/bin/tiny_solver.rs,259,,9999,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Minimal / smoke-test solver,,,Terminal (no known successor),,Pending,E3,
m8g_cs_validation,ultracrew_server,ULTRACREW,services/ultracrew_server/src/bin/m8g_cs_validation.rs,110,m8g,8,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Validation against reference,,m9a_search_observatory,Superseded,,Pending,E3,
m8g_ultracrew_validation,ultracrew_server,ULTRACREW,services/ultracrew_server/src/bin/m8g_ultracrew_validation.rs,156,m8g,8,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Validation against reference,,,Terminal (no known successor),,Pending,E3,
m9a_search_observatory,ultracrew_server,ULTRACREW,services/ultracrew_server/src/bin/m9a_search_observatory.rs,316,m9a,9,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,2026-07-06,902627262f4fe768ecf3f8e0fc37c2d0ad381f6f,feat(observability): restore workspace and implement feasibility repair telemetry,Search observatory,m8g_cs_validation,m23a_synthetic,Superseded,,Pending,E3,
m23a_synthetic,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/m23a_synthetic.rs,203,m23a,23,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Synthetic data experiment,m9a_search_observatory,m30_0b_passive_telemetry|m30_0d_active_pilot,Superseded,,Pending,E3,
m30_0b_passive_telemetry,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/m30_0b_passive_telemetry.rs,141,m30_0,30,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Passive observation / telemetry,m23a_synthetic,m31_2a_engagement_audit|m31_benchmarks,Superseded,,Pending,E3,
m30_0d_active_pilot,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/m30_0d_active_pilot.rs,221,m30_0,30,2026-07-06,d3c68b4ff2dd2e34284fec20f03b558ffe02cdd6,feat(moga): commit all current codebase files including search configs and benchmarks,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Active pilot / live deployment,m23a_synthetic,,Terminal (no known successor),,Pending,E3,
m31_2a_engagement_audit,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/m31_2a_engagement_audit.rs,260,m31_2,31,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Structural or behavioural audit,m30_0b_passive_telemetry,,Terminal (no known successor),,Pending,E3,
m31_benchmarks,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/m31_benchmarks.rs,463,m31,31,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Benchmark / performance measurement,m30_0b_passive_telemetry,,Terminal (no known successor),,Pending,E3,
config_sweep,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/config_sweep.rs,271,,9999,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Configuration sweep,,,Terminal (no known successor),,Pending,E3,
inrc_ecology_ablation_matrix,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/inrc_ecology_ablation_matrix.rs,353,,9999,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Ablation study — component isolation,,,Terminal (no known successor),,Pending,E3,
inrc_ecology_cost_curve,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/inrc_ecology_cost_curve.rs,348,,9999,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Ecology / fitness landscape characterisation,,,Terminal (no known successor),,Pending,E3,
inrc_ecology_memory_depth,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/inrc_ecology_memory_depth.rs,341,,9999,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Ecology / fitness landscape characterisation,,,Terminal (no known successor),,Pending,E3,
inrc_ecology_multi_week_ablation,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/inrc_ecology_multi_week_ablation.rs,451,,9999,2026-06-04,57b7cf1615b6524bcdffef5f87127fb70d44e77f,Gate 0: EcologyPolicy/EcologyState + endpoint equivalence tests + alpha sweep binary,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Ablation study — component isolation,,,Terminal (no known successor),,Pending,E3,
inrc_ecology_response_curve,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/inrc_ecology_response_curve.rs,347,,9999,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Ecology / fitness landscape characterisation,,,Terminal (no known successor),,Pending,E3,
inrc_m22_ancestry,ultracrew,ULTRACREW,adapters/ultracrew/src/bin/inrc_m22_ancestry.rs,321,,9999,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,2026-07-07,e256cbd3a2ce14dcbbd8842956ddac2fc7691051,feat(observability): implement generic performance characterization and auto-configuration framework,Ancestry / lineage tracing,,,Terminal (no known successor),,Pending,E3,
